state_name,parameter_code,aic,bic,mse,r2
Michigan,42401,446.8563403294872,459.67808128682634,22.03828933247875,-0.6685631334607731
Michigan,42602,453.6484439915423,466.47018494888147,53.367535728978794,-3.6852127017005936
Michigan,44201,579.0862362445512,591.9079772018904,178.69334250801117,-0.762190879854872
Minnesota,42101,214.025987173847,226.8477281311862,3.2147735037653176,-0.9183065520346121
Minnesota,42401,132.14803581902868,144.96977677636787,0.805445330558406,-2.114679072193259
Minnesota,42602,448.1288581587495,460.95059911608865,28.047685825796137,-1.4424343175119358
Minnesota,44201,521.1971096697876,534.0188506271268,150.03130775345375,-2.041986399374158
Mississippi,42101,236.02961474235696,248.24287102480855,,
Mississippi,42401,382.54496700019877,395.3667079575379,10.19333205649192,-0.4504984237220657
Mississippi,42602,437.5739019552226,450.39564291256175,,
Mississippi,44201,599.4655992519345,612.2349837099372,,
Missouri,42101,203.5611865648035,216.3829275221427,2.7864613933517695,-3.4107185490205785
Missouri,42401,475.0937580342222,487.9154989915614,56.7162058540318,-0.2989427405569378
Missouri,42602,485.8470296822461,498.66877063958526,57.35075280556877,-2.036791840319374
Missouri,44201,608.1237732101749,620.840247121525,222.67381738417762,-0.5130371980871797
Montana,42101,237.56278706102444,250.38452801836362,4.578101603619938,-0.6856518505872555
Montana,42401,388.8090853383618,401.63082629570096,13.14618212611442,-0.6349285988084896
Montana,42602,255.063750975238,267.88549193257717,3.6483536978641955,-2.3217795184927454
Montana,44201,443.9207753523,456.74251630963914,137.13191331411363,-2.918865307379631
Nebraska,42101,288.5892062360094,301.41094719334853,7.942852129402321,-2.427837819408967
Nebraska,42401,463.92142395524314,476.7431649125823,8.775525776614996,-0.1272073449211395
Nebraska,44201,588.1422432593117,600.8587171706617,,
Nevada,42101,312.92523781571936,325.7469787730585,7.519859387993595,0.20237266270181364
Nevada,42401,199.2768601527516,211.49011643520316,1.1479061813145124,0.3785762965946724
Nevada,42602,477.8970380245273,490.7187789818665,79.99474499461104,-1.6687749195784192
Nevada,44201,580.6203873818401,593.4421283391794,260.48270609662,-0.5267444925404252
New Hampshire,42101,225.9449836153974,238.7667245727366,5.9680047248911245,-0.8730030792514911
New Hampshire,42401,501.55125355779916,514.3729945151383,71.85475644948666,-0.24335498578230208
New Hampshire,42602,255.36859275281995,268.1903337101591,,
New Hampshire,44201,470.53206502320626,483.3538059805454,159.63411707153014,-3.508834359518299
New Jersey,42101,233.3165857818425,246.13832673918168,4.045575625081817,-1.2882711626547452
New Jersey,42401,361.72513016765913,374.5468711249983,5.9399299517770485,0.32811723117471003
New Jersey,42602,470.8423404219786,483.66408137931774,77.82680250451732,-2.9355322068866134
New Jersey,44201,565.6717658710934,578.4935068284326,243.87880467677437,-0.7390683187220908
New Mexico,42101,267.89496978580144,280.7167107431406,4.470780522288383,0.12705712924082935
New Mexico,42401,214.12275071638336,226.94449167372255,1.5369609176399956,-0.3012395950772697
New Mexico,42602,336.6795195277122,349.5012604850514,37.285770176049645,-2.1114840073931553
New Mexico,44201,556.2442700547853,569.0660110121245,221.67181562963373,-0.8633566047609895
New York,42101,163.1360563367562,175.9577972940954,3.4082525327754274,-2.268013053264225
New York,42401,234.69074399906418,247.51248495640337,3.355690911097681,-0.2528005121288972
New York,42602,448.51840524012175,461.3401461974609,57.502194449585026,-2.4725298065675063
New York,44201,509.55238331635746,522.3741242736967,176.80522682925914,-2.0420163436092453
North Carolina,42101,209.021877333261,221.84361829060018,4.625848950510265,-1.141773606462622
North Carolina,42401,320.8284144235291,333.6501553808683,7.513447548583507,-0.5284884671661292
North Carolina,42602,428.985971607885,441.80771256522416,62.76187129171602,-1.7331684169754022
North Carolina,44201,583.0797915717551,595.9015325290943,246.92633432372807,-2.4400316078400954
North Dakota,42101,14.184461882737374,27.006202840076554,0.5735033299428882,-6.108963903531004
North Dakota,42401,288.908086969201,301.72982792654017,5.654715912485391,-1.4399440629831015
North Dakota,42602,257.06610457188765,269.88784552922687,7.72194730755511,-3.291159293118521
North Dakota,44201,503.62491507055756,516.4466560278968,153.903208080782,-2.2240602273121417
Ohio,42101,229.7612281883589,242.5829691456981,4.554576999844186,-2.5541292393616257
Ohio,42401,355.3639126965571,368.1856536538963,24.312795734370297,-0.2140864001628684
Ohio,42602,474.17538053598963,486.9971214933288,49.77414447776185,-3.21238571013736
Ohio,44201,591.3044833943736,604.1262243517128,223.47966024672192,-0.6899589127189227
Oklahoma,42101,197.39204444448922,210.2137854018284,2.3670947500563737,-1.4509535368172553
Oklahoma,42401,394.7389600167876,407.56070097412675,13.263948577479349,-0.40029720094866894
Oklahoma,42602,434.2982114404124,447.11995239775155,29.3391608496832,-2.336068214124125
Oklahoma,44201,643.2390166648046,656.0607576221438,225.42440602991695,-0.8377330525373694
Oregon,42101,334.48086299012687,347.302603947466,,
Oregon,42401,217.36274246617117,230.18448342351036,1.5087712546561198,-0.4383209091653828
Oregon,42602,446.14357324760675,458.9653142049459,38.77839149886936,-2.324419655508295
