state_name,parameter_code,aic,bic
Pennsylvania,42602,416.2886504845551,429.11039144189425
Pennsylvania,44201,561.53262915408,574.3543701114193
Rhode Island,42101,226.68542786759417,239.50716882493336
Rhode Island,42401,378.0363286615964,390.85806961893553
Rhode Island,42602,492.38361909840506,505.2053600557442
Rhode Island,44201,581.342029295424,594.1114137534267
South Carolina,42101,231.20221464243485,244.02395559977404
South Carolina,42401,299.47921669079665,312.3009576481358
South Carolina,42602,469.7526296688628,482.574370626202
South Carolina,44201,575.7861392896909,588.6078802470302
South Dakota,42101,92.16341795984795,104.98515891718714
South Dakota,42401,97.70773683009563,110.52947778743481
South Dakota,42602,366.8448169028001,379.6665578601393
South Dakota,44201,527.1318344978008,539.95357545514
Tennessee,42101,179.23178574423645,192.05352670157563
Tennessee,42401,496.4979083844455,509.31964934178467
Tennessee,42602,555.9732941822713,568.7950351396105
Tennessee,44201,607.7120273660455,620.5337683233847
Texas,42101,149.04858930527163,161.87033026261082
Texas,42401,252.85214154569329,265.6738825030325
Texas,42602,394.1722225460676,406.99396350340675
Texas,44201,628.3838291476643,641.2055701050035
Utah,42101,345.0882298700425,357.90997082738164
Utah,42401,288.53090580836897,301.35264676570813
Utah,42602,453.91818534308163,466.7399263004208
Utah,44201,634.6589909804422,647.4807319377815
Vermont,42101,248.75108357284978,261.57282453018894
Vermont,42401,378.33363630346446,391.1553772608036
Vermont,42602,417.39024610677916,430.2119870641183
Vermont,44201,475.90959559322994,488.7313365505691
Virginia,42101,192.37703152412647,205.19877248146565
Virginia,42401,383.94875571497516,396.7704966723143
Virginia,42602,384.81430954697805,397.6360505043172
Virginia,44201,546.8562212642205,559.6779622215597
Washington,42101,353.7319116131234,366.55365257046253
Washington,42401,361.4740473525148,374.29578830985395
Washington,42602,599.8079008946714,612.6296418520106
Washington,44201,503.11161145490325,515.9333524122425
West Virginia,42101,193.5508344321724,206.37257538951158
West Virginia,42401,449.42353794111705,462.2452788984562
West Virginia,44201,625.5535627495051,638.2700366608551
Wisconsin,42101,99.16400887473327,111.98574983207246
Wisconsin,42401,454.2615306234904,467.08327158082955
Wisconsin,42602,509.84524979527555,522.6669907526148
Wisconsin,44201,562.5115513078242,575.3332922651634
Wyoming,42101,185.31760818981897,198.13934914715816
Wyoming,42401,414.5379700624586,427.35971101979777
Wyoming,42602,266.03548509744337,278.85722605478253
Wyoming,44201,472.5313488268042,485.3530897841434
