state_name,parameter_code,test_stat,p_value,n_lags
North Carolina,44201,-4.921466395105328,3.166985420459891e-05,25.0
North Dakota,42101,-13.572526482446131,2.2009092042514736e-25,7.0
North Dakota,42401,-4.980306622561075,2.4273463350545093e-05,29.0
North Dakota,42602,-5.575142844371847,1.4378033292671262e-06,27.0
North Dakota,44201,-4.745544777104247,6.904800041468602e-05,17.0
Ohio,42101,-4.766483510578357,6.301021579578609e-05,28.0
Ohio,42401,-2.5497892398588116,0.10382508339892299,25.0
Ohio,42602,-6.189605614293368,6.168614360745635e-08,27.0
Ohio,44201,-3.7501826903220694,0.003460174468653482,26.0
Oklahoma,42101,-4.681726373005698,9.10620642059377e-05,23.0
Oklahoma,42401,-4.367631529246563,0.0003385306556554837,27.0
Oklahoma,42602,-5.718808868756086,7.018861615829546e-07,27.0
Oklahoma,44201,-4.592693928490266,0.000133234653606883,22.0
Oregon,42101,-4.769883313908247,6.207892482281728e-05,19.0
Oregon,42401,-4.755172398298142,6.620599723433169e-05,28.0
Oregon,42602,-5.461857041784488,2.508303130622299e-06,27.0
Oregon,44201,-5.227642102442741,7.718686058209188e-06,18.0
Pennsylvania,42101,-5.635880404404115,1.0633982679020778e-06,24.0
Pennsylvania,42401,-4.064214969958603,0.0011091807555483437,24.0
Pennsylvania,42602,-3.731808652407315,0.003687343735319561,28.0
Pennsylvania,44201,-4.307309384239073,0.0004314423540662543,20.0
Rhode Island,42101,-3.0944100659871445,0.02696964388455851,28.0
Rhode Island,42401,-4.623431118000721,0.0001169162509254229,29.0
Rhode Island,42602,-4.228225098234299,0.0005900450709677265,21.0
Rhode Island,44201,-4.411330167733711,0.00028342360268411565,26.0
South Carolina,42101,-5.959779163383294,2.0521196104601826e-07,19.0
South Carolina,42401,-4.0227289266221335,0.0012960623133553833,27.0
South Carolina,42602,-5.63290558275358,1.079282264822486e-06,26.0
South Carolina,44201,-5.054177110206885,1.7319196228498096e-05,26.0
South Dakota,42101,-5.7972292523279005,4.720945903777853e-07,25.0
South Dakota,42401,-4.471925906130079,0.0002209295908825112,27.0
South Dakota,42602,-4.7685219755370545,6.245023394879992e-05,27.0
South Dakota,44201,-4.119111868515686,0.0009004231399068423,29.0
Tennessee,42101,-5.293110808887803,5.658473077859741e-06,24.0
Tennessee,42401,-4.798615957195485,5.471846462911998e-05,26.0
Tennessee,42602,-5.096697537831816,1.4234943134502404e-05,24.0
Tennessee,44201,-5.6084005057288495,1.219237078686846e-06,23.0
Texas,42101,-3.9180768774460284,0.001905766422193843,24.0
Texas,42401,-3.479565912742728,0.008527657266744773,25.0
Texas,42602,-5.051905595414818,1.7500954239565713e-05,27.0
Texas,44201,-6.198728566669818,5.877967673336636e-08,23.0
Utah,42101,-3.6852390427659336,0.004325636498371287,25.0
Utah,42401,-2.3199083689916424,0.16562749214867378,27.0
Utah,42602,-4.278077897865079,0.0004846856843188575,29.0
Utah,44201,-4.790926550200435,5.660174012419246e-05,15.0
Vermont,42101,-3.7250298402704667,0.003774548970921175,29.0
Vermont,42401,-4.077352586940498,0.0010554599857036796,27.0
Vermont,42602,-3.9750871144686424,0.0015467299828074385,29.0
Vermont,44201,-4.792239447134706,5.627584423065643e-05,23.0
Virginia,42101,-5.959204357719528,2.0582269069263622e-07,18.0
Virginia,42401,-4.5451060184854555,0.00016285354469378047,20.0
Virginia,42602,-4.3639472387735285,0.00034361384582864263,27.0
Virginia,44201,-4.888483266516381,3.671990144177454e-05,24.0
Washington,42101,-5.131645277348165,1.2104002520979642e-05,27.0
Washington,42401,-3.349076796520601,0.012822283434232893,26.0
Washington,42602,-4.190077846663908,0.0006848507372962827,29.0
Washington,44201,-5.38496926840045,3.6423247380707217e-06,29.0
West Virginia,42101,-4.382949592893388,0.00031814986221675925,26.0
West Virginia,42401,-3.934185744980247,0.0017971779807019466,26.0
West Virginia,44201,-4.11432279727354,0.0009170537833832637,29.0
Wisconsin,42101,-2.884404977829446,0.047191773316164684,28.0
Wisconsin,42401,-5.465483684098086,2.464324025010954e-06,25.0
Wisconsin,42602,-4.065034010092265,0.00110575832483991,27.0
Wisconsin,44201,-4.428923131147964,0.0002637352251244688,29.0
Wyoming,42101,-4.471009000551022,0.00022176908895124676,29.0
Wyoming,42401,-10.662456237291538,4.371775639860893e-19,10.0
Wyoming,42602,-5.188498642582989,9.280095185682652e-06,27.0
Wyoming,44201,-4.157623667121404,0.0007765998446688579,22.0
